Day,Time,Magnitude,Latitude,Longitude,Depth
3,16:55:27,3.9,43.77,86.36,5.0
3,21:14:2,6.3,-23.31,179.25,550.0
5,5:52:29,6.9,-19.31,175.95,20.0
5,9:3:59,3.9,41.99,82.5,10.0
5,15:7:22,3.7,24.12,121.85,47.0
5,22:12:51,4.7,30.6,83.77,9.0
9,16:52:8,5.8,-6.26,147.45,60.0
10,7:47:12,6.1,74.32,-92.29,10.0
11,4:25:54,3.7,35.56,77.87,78.0
11,14:13:45,6.9,4.41,122.62,620.0
11,23:27:13,6.3,-10.12,161.0,30.0
16,18:5:35,4.2,28.16,104.72,12.0
16,19:20:53,3.7,28.14,104.73,10.0
18,16:53:46,3.6,49.73,118.8,20.0
19,18:14:12,5.7,42.54,13.21,20.0
19,22:35:13,4.3,28.1,104.76,5.0
21,17:54:1,4.8,38.2,76.73,7.0
22,1:0:49,3.7,32.83,93.08,10.0
23,0:43:33,4.0,52.05,119.85,15.0
23,12:30:25,7.9,-6.19,155.14,160.0
26,14:38:3,3.6,30.1,103.61,24.0
26,15:33:5,3.6,24.16,121.95,45.0
29,2:46:32,4.9,28.09,104.72,11.0
30,22:59:48,5.9,-30.27,-177.12,10.0
31,2:6:7,3.8,40.69,77.61,6.0
32,14:16:0,4.5,31.53,93.97,5.0
33,18:7:44,5.0,30.67,83.34,8.0
34,8:34:29,3.7,28.15,104.7,10.0
36,3:54:22,5.6,15.1,-60.5,40.0
36,21:44:31,4.1,35.62,81.62,7.0
38,13:24:38,4.1,32.34,83.94,7.0
40,6:3:53,6.4,25.2,63.28,10.0
40,19:11:38,4.9,27.07,103.36,10.0
42,22:3:42,6.4,9.86,125.46,30.0
43,1:12:51,5.6,22.85,120.2,20.0
45,1:33:34,3.5,29.09,120.68,6.0
47,15:50:30,4.3,38.25,73.14,132.0
50,20:10:13,6.2,-23.83,-66.68,190.0
50,20:27:39,3.6,22.56,121.24,8.0
53,22:9:4,6.4,-19.24,-63.85,600.0
55,2:41:23,3.8,30.77,110.77,7.0
56,8:32:14,5.9,-8.43,30.01,10.0
57,1:28:44,6.9,-23.24,-178.89,400.0
57,7:46:44,6.0,-17.95,-178.48,560.0
58,3:24:50,4.0,31.02,103.38,13.0
59,2:48:51,4.5,30.18,83.54,5.0
60,0:18:30,3.9,24.16,122.77,10.0
60,21:42:19,5.4,37.65,72.28,157.0
61,1:3:11,3.9,39.92,81.34,6.0
62,10:11:31,5.5,59.62,-152.71,60.0
63,2:48:34,3.9,38.1,120.84,9.0
64,10:58:21,6.0,-7.2,155.63,10.0
66,6:47:54,6.0,-6.01,149.37,30.0
66,10:44:1,4.2,36.88,73.59,110.0
67,17:49:44,3.9,38.37,73.27,121.0
68,0:22:25,4.0,36.75,84.78,6.0
68,6:10:51,4.1,24.32,122.17,38.0
71,7:51:38,4.0,43.08,110.24,11.0
72,20:21:17,4.5,27.09,103.4,10.0
73,5:41:6,3.8,47.83,90.97,7.0
74,10:51:15,5.9,6.15,92.35,10.0
74,19:7:10,4.7,39.19,73.51,10.0
74,20:36:44,5.8,-20.9,169.94,140.0
75,0:39:45,3.6,27.14,97.0,7.0
77,19:36:20,3.7,38.58,73.21,115.0
79,21:45:13,3.8,37.1,77.93,21.0
79,23:43:29,6.0,-8.24,160.84,40.0
84,11:3:26,3.9,38.82,119.55,10.0
85,0:43:29,4.8,26.91,127.21,90.0
87,6:54:46,4.2,30.59,83.99,8.0
87,7:40:28,4.7,25.87,99.83,12.0
87,7:55:0,5.1,25.89,99.8,12.0
87,9:10:26,4.3,25.85,99.81,12.0
87,18:50:19,6.1,52.74,172.16,10.0
87,22:6:53,3.7,38.11,120.79,9.0
89,12:9:23,6.7,56.91,162.81,20.0
90,0:34:2,4.0,22.49,121.03,10.0
90,7:48:17,3.6,27.11,103.36,5.0
94,19:34:18,3.7,45.92,118.4,15.0
95,1:40:13,6.6,-22.61,25.11,10.0
95,23:7:28,5.4,47.2,85.06,5.0
96,14:9:11,6.1,35.83,60.41,10.0
99,15:7:57,5.7,13.65,120.9,10.0
102,2:25:5,3.7,32.21,104.56,14.0
103,2:25:36,4.2,30.08,119.34,15.0
106,16:19:41,6.3,-23.3,-67.69,140.0
108,13:23:13,5.5,17.51,-61.15,20.0
109,17:13:8,5.0,20.71,100.1,10.0
110,1:49:55,5.9,-2.68,-75.28,10.0
111,11:39:14,4.3,38.13,77.87,8.0
112,0:20:12,4.0,22.93,121.0,6.0
113,14:9:19,3.9,37.01,79.03,19.0
114,5:26:57,3.9,31.44,103.97,18.0
116,5:38:24,6.9,-33.03,-71.88,10.0
116,22:33:47,3.9,37.32,75.57,78.0
119,13:1:23,4.2,41.93,76.8,6.0
120,4:23:19,7.0,5.51,125.08,50.0
120,7:52:2,3.9,37.48,94.69,9.0
120,21:41:48,4.0,40.53,74.67,8.0
121,9:57:22,5.0,21.43,121.8,90.0
122,20:31:56,6.3,59.92,-136.61,20.0
122,22:18:17,6.2,59.74,-136.61,20.0
124,12:47:15,6.2,39.42,71.58,30.0
125,13:40:20,4.9,28.19,104.87,10.0
126,13:7:29,4.0,23.38,121.65,34.0
126,13:9:36,6.0,39.45,71.5,20.0
128,21:35:17,3.6,32.96,89.45,7.0
129,23:31:25,5.6,51.1,-177.08,20.0
129,23:47:33,5.8,51.12,-177.1,20.0
130,1:0:49,6.2,51.81,-178.53,20.0
130,9:54:15,6.0,24.47,126.29,20.0
130,21:52:8,6.9,-14.57,167.35,140.0
132,5:58:19,5.5,37.58,75.25,8.0
132,6:0:55,4.5,37.62,75.27,5.0
132,7:23:36,6.4,-56.3,-26.05,10.0
132,12:3:40,4.2,37.59,75.31,6.0
133,18:41:25,6.2,12.92,-90.01,10.0
133,22:18:42,3.7,50.11,122.04,20.0
135,2:1:1,5.9,37.86,57.31,15.0
135,13:28:12,3.8,35.24,81.59,7.0
136,21:22:39,6.2,-4.0,152.49,20.0
137,0:20:2,4.4,33.05,99.0,10.0
137,7:12:53,5.6,23.31,121.49,10.0
138,23:27:56,4.7,38.21,73.12,137.0
141,0:2:15,3.7,25.65,99.34,6.0
141,9:6:13,6.0,9.36,123.94,540.0
142,1:58:45,5.7,17.08,-94.01,140.0
143,17:23:5,4.7,39.34,73.45,11.0
144,21:7:53,3.6,30.72,89.06,6.0
145,11:16:29,3.6,27.69,90.63,7.0
145,17:49:4,4.1,23.44,120.49,17.0
145,21:10:54,4.7,23.44,120.49,16.0
146,0:36:1,5.7,52.52,-166.72,10.0
146,13:48:12,4.3,23.45,120.5,15.0
146,22:27:5,5.0,15.21,120.32,60.0
150,22:35:23,6.6,-1.3,120.42,20.0
151,1:41:21,3.5,30.23,112.32,8.0
155,6:24:48,6.9,54.09,170.91,10.0
155,7:48:17,5.5,-4.73,145.13,190.0
155,13:7:49,3.6,33.52,91.32,10.0
155,18:11:10,5.0,37.99,103.56,15.0
156,9:24:49,3.6,38.4,73.95,120.0
156,21:24:46,4.4,24.67,122.7,12.0
158,14:4:58,3.9,31.31,103.18,9.0
160,8:56:53,4.6,33.54,91.19,10.0
160,12:31:50,4.4,33.57,91.13,10.0
164,20:28:39,6.4,38.96,26.24,10.0
166,3:38:15,4.8,33.54,91.2,11.0
166,14:4:7,3.8,33.58,91.18,10.0
166,15:29:5,7.1,15.11,-91.8,100.0
168,19:48:11,4.3,31.06,110.48,8.0
170,14:9:29,3.8,33.57,91.18,10.0
170,17:39:20,4.1,31.04,110.46,7.0
173,15:25:38,3.9,24.72,121.84,11.0
174,3:41:8,4.7,38.4,73.48,15.0
174,20:31:3,6.8,13.75,-91.0,40.0
178,8:39:43,4.0,39.65,73.54,7.0
178,8:47:43,3.6,28.16,104.67,14.0
183,6:29:42,6.0,-0.26,-80.46,10.0
184,9:58:26,4.2,27.23,86.4,10.0
184,14:34:56,4.1,25.12,101.71,5.0
186,12:25:20,3.9,39.45,73.25,8.0
188,16:3:57,6.6,11.18,124.65,10.0
191,15:59:49,3.9,29.09,95.8,7.0
193,6:5:34,3.8,38.94,75.46,8.0
193,15:0:8,6.6,-49.19,164.18,10.0
194,18:42:16,3.9,37.68,101.57,9.0
195,3:48:8,6.2,40.8,131.7,520.0
195,11:36:7,6.4,-4.8,153.15,40.0
195,22:3:57,3.6,23.33,100.52,5.0
197,1:41:26,4.0,24.82,107.34,6.0
198,0:56:12,3.6,30.67,82.73,5.0
199,1:6:41,5.8,-20.41,-173.5,10.0
199,6:55:59,4.9,32.38,105.36,21.0
199,9:20:35,5.9,-20.32,-173.54,10.0
199,19:5:7,6.3,54.54,168.82,10.0
200,7:34:13,7.8,54.36,168.95,10.0
200,7:59:44,3.7,40.78,78.76,7.0
200,10:5:18,6.3,-16.29,-73.74,30.0
203,6:31:13,6.8,36.9,27.53,10.0
205,7:13:30,4.9,45.3,124.81,12.0
205,18:36:36,4.2,41.14,75.31,8.0
207,5:46:36,4.0,41.71,88.51,7.0
209,15:8:13,3.9,21.73,121.46,87.0
210,1:53:26,5.8,13.41,-49.4,20.0
212,11:12:31,3.6,39.14,74.39,6.0
213,0:33:46,3.7,23.95,108.58,7.0
215,2:7:23,3.8,38.75,73.06,7.0
216,8:14:52,3.9,39.71,73.84,7.0
219,8:15:3,5.6,-10.25,161.41,60.0
221,21:19:46,7.0,33.2,103.82,20.0
222,5:16:2,3.6,33.3,103.76,10.0
222,5:37:14,3.6,33.12,103.87,17.0
222,7:27:52,6.6,44.27,82.89,11.0
222,7:31:6,4.0,44.28,82.82,6.0
222,7:32:51,4.0,44.29,82.74,12.0
222,7:39:18,4.5,44.29,82.75,7.0
222,7:44:31,4.7,44.31,82.76,8.0
222,8:10:9,3.7,33.12,103.87,23.0
222,8:22:37,4.0,44.3,82.71,6.0
222,8:29:4,3.9,33.28,103.8,13.0
222,8:40:23,3.7,44.29,82.59,14.0
222,9:22:14,3.8,33.16,103.85,19.0
222,9:32:47,3.7,33.28,103.75,19.0
222,10:17:2,4.8,33.16,103.86,26.0
222,13:22:40,4.6,44.29,82.78,8.0
223,3:2:13,3.7,33.22,103.79,19.0
223,5:5:54,4.3,33.16,103.85,26.0
223,17:48:34,4.1,33.22,103.85,26.0
224,9:58:54,4.3,23.19,121.41,21.0
224,13:28:25,6.3,14.0,120.71,180.0
225,5:45:9,5.6,-16.47,-73.45,30.0
225,7:56:39,3.7,33.12,103.87,12.0
226,1:9:59,4.3,30.31,94.92,7.0
226,8:8:34,3.8,22.13,121.1,60.0
226,11:8:12,6.6,-3.55,101.69,40.0
227,0:51:24,5.7,-10.75,-74.35,10.0
227,19:26:1,4.5,41.29,83.74,7.0
228,11:58:15,4.5,45.42,124.75,7.0
228,13:16:4,4.0,23.19,106.16,6.0
229,6:49:43,4.3,38.33,74.03,7.0
229,20:51:25,5.7,28.69,127.94,180.0
231,10:59:23,6.6,-1.22,-13.75,10.0
231,16:9:56,3.7,38.65,73.24,7.0
232,10:0:49,6.8,-17.95,-178.81,540.0
233,5:14:34,3.8,41.31,83.82,11.0
234,19:20:15,4.0,35.47,88.61,6.0
234,20:3:17,3.9,27.66,86.41,7.0
240,12:17:50,6.3,-1.42,148.09,10.0
242,6:27:31,3.7,39.44,75.17,10.0
243,6:8:34,4.8,19.52,120.86,4.0
245,1:6:55,6.2,-1.13,99.7,40.0
245,1:46:2,5.8,58.45,-153.63,50.0
245,6:57:37,5.4,-0.25,125.24,40.0
245,10:38:9,4.6,32.2,82.74,8.0
246,3:30:54,4.6,36.28,106.01,10.0
247,5:59:47,4.1,34.14,83.56,6.0
247,11:30:1,6.3,41.35,129.11,0.0
247,11:38:31,4.6,41.21,129.18,0.0
248,3:5:3,3.7,37.5,114.35,5.0
248,16:7:36,6.0,-57.68,-25.58,30.0
248,21:47:22,3.8,34.41,87.46,5.0
252,1:26:47,6.2,27.71,139.8,460.0
252,12:49:15,8.2,15.05,-93.9,20.0
253,6:57:22,3.8,44.25,82.68,17.0
253,15:48:34,4.1,38.75,74.95,6.0
254,22:41:23,3.6,35.59,116.85,18.0
255,5:40:22,5.8,57.03,-33.57,10.0
256,0:35:4,3.6,28.93,105.42,2.0
256,19:26:40,4.4,27.93,101.42,13.0
260,18:11:32,5.7,42.11,83.43,6.0
260,18:29:4,3.6,42.14,83.38,7.0
262,6:39:52,3.8,23.52,121.71,21.0
262,23:54:16,3.7,40.82,77.32,22.0
264,2:14:39,7.1,18.58,-98.47,50.0
264,4:18:7,5.3,37.33,141.68,40.0
264,22:29:55,5.5,23.35,121.85,15.0
265,0:37:15,6.0,37.93,144.73,10.0
265,4:9:49,6.4,-18.75,169.1,205.0
266,1:46:39,3.8,33.02,87.64,8.0
267,18:38:5,5.7,15.54,-94.2,70.0
267,20:53:5,6.1,16.75,-94.91,40.0
267,21:30:34,5.0,13.67,120.82,190.0
268,13:49:45,4.0,24.01,122.32,19.0
270,12:19:59,6.4,-23.63,-176.89,100.0
272,17:33:31,3.8,47.31,121.24,18.0
273,12:0:20,5.6,14.89,-94.03,20.0
274,14:14:37,5.4,32.27,105.0,13.0
275,20:18:11,3.7,28.5,96.42,7.0
277,19:17:46,4.1,23.14,106.17,8.0
280,15:59:33,6.1,37.5,144.0,10.0
280,18:25:34,4.0,33.23,103.8,20.0
283,4:48:58,6.0,-61.71,154.53,10.0
283,6:34:34,6.5,52.38,176.8,130.0
283,7:29:52,4.0,22.49,121.34,7.0
284,14:32:19,6.3,-18.58,-69.64,90.0
285,2:53:31,6.7,-54.19,8.28,20.0
286,15:52:25,4.5,31.96,94.98,7.0
287,4:3:50,3.6,32.51,105.52,16.0
289,8:57:54,3.8,38.6,76.13,10.0
290,21:3:5,3.9,40.41,77.12,7.0
292,4:16:5,3.9,33.04,91.77,5.0
292,20:0:56,6.3,-20.5,-173.65,10.0
297,16:32:34,5.9,-52.4,16.89,10.0
298,18:47:46,6.7,-7.21,123.07,570.0
298,20:54:10,3.8,38.43,74.15,133.0
300,5:2:12,3.9,37.28,75.37,8.0
303,3:11:3,5.8,86.94,54.38,10.0
304,7:15:44,4.7,24.13,122.16,29.0
305,8:42:9,6.7,-21.71,169.12,20.0
305,19:50:51,6.2,-3.79,127.83,30.0
305,21:52:20,4.3,34.73,103.31,12.0
306,8:9:33,6.0,-21.68,168.92,10.0
306,9:2:57,3.8,37.97,87.33,25.0
306,10:23:56,6.5,-21.57,168.91,10.0
306,13:9:0,5.9,-21.79,168.91,10.0
306,13:33:38,3.9,33.35,96.18,10.0
308,10:49:0,4.9,23.01,120.98,6.0
308,21:16:51,3.7,35.31,99.24,10.0
309,7:34:47,4.7,23.62,121.59,13.0
309,17:0:17,6.8,-15.3,-173.15,10.0
311,4:54:25,3.8,38.46,73.48,126.0
311,8:34:13,3.8,31.22,103.7,17.0
312,5:31:8,4.5,33.21,103.79,16.0
313,0:28:39,3.8,39.51,73.56,9.0
313,5:26:36,6.5,-4.2,143.55,110.0
314,10:13:42,3.8,34.61,78.52,104.0
315,11:3:14,4.2,31.54,103.97,19.0
316,4:53:35,4.6,38.26,73.95,7.0
316,19:14:40,4.1,23.71,120.62,10.0
316,20:22:53,5.0,23.68,120.69,20.0
317,6:54:20,3.6,24.68,122.08,55.0
317,12:56:29,4.5,26.75,125.5,150.0
318,2:18:19,7.8,34.9,45.75,20.0
318,6:24:6,5.9,38.1,144.95,10.0
318,10:28:23,6.7,9.55,-84.57,20.0
320,8:24:33,5.7,13.07,143.71,140.0
321,9:42:56,4.5,41.94,77.46,7.0
321,17:43:34,5.6,32.37,140.82,80.0
323,6:34:19,6.9,29.75,95.02,10.0
323,6:37:58,4.0,29.77,95.11,6.0
323,8:31:58,5.0,29.88,94.92,6.0
323,11:36:4,4.3,29.93,94.99,7.0
323,17:54:38,3.6,33.78,94.94,10.0
324,0:7:1,5.7,2.5,128.15,10.0
324,17:25:50,6.3,-21.49,168.7,30.0
324,23:9:4,6.6,-21.49,168.56,20.0
325,6:43:30,6.9,-21.28,168.71,20.0
326,2:26:25,4.7,35.36,86.57,7.0
327,4:10:58,3.6,30.05,85.58,8.0
327,22:20:10,5.2,23.71,120.6,16.0
328,10:14:12,3.7,29.81,95.15,6.0
328,15:13:45,4.2,29.88,95.13,7.0
328,17:43:33,5.0,29.4,107.94,10.0
329,4:55:32,4.2,23.6,120.69,22.0
332,15:11:6,6.0,-4.5,153.25,10.0
335,14:32:50,6.5,-1.1,-23.42,10.0
336,10:32:46,6.1,30.7,57.35,10.0
336,10:49:57,6.0,-6.21,147.6,10.0
338,19:19:4,6.0,-0.45,-80.27,20.0
339,1:45:35,3.7,35.47,77.8,7.0
339,1:50:12,3.8,39.17,74.34,6.0
339,8:8:5,5.7,-32.82,-178.73,10.0
339,16:59:40,4.3,21.86,121.28,19.0
341,23:19:49,4.3,30.57,79.21,5.0
342,7:29:5,5.2,35.69,77.46,87.0
343,8:22:53,6.5,10.05,140.15,20.0
343,10:51:14,4.2,27.51,86.25,6.0
343,17:51:6,6.4,10.0,140.2,20.0
344,7:42:12,5.9,-15.89,-173.94,150.0
345,12:52:35,3.6,41.73,88.37,9.0
346,5:37:0,3.6,29.92,94.99,6.0
346,6:53:40,3.9,34.03,78.46,10.0
346,6:58:53,4.2,34.09,78.58,10.0
346,7:35:42,3.6,34.09,78.35,8.0
346,18:50:1,5.9,-20.85,-173.65,20.0
346,22:9:58,5.5,35.0,45.75,10.0
347,16:43:18,6.0,30.75,57.3,10.0
348,5:41:32,6.2,30.8,57.25,10.0
348,7:17:38,4.1,24.04,122.4,18.0
349,17:48:36,3.7,42.82,84.57,12.0
350,2:54:25,4.9,35.13,101.87,7.0
350,20:38:21,3.9,35.14,101.86,7.0
351,0:47:56,6.7,-7.7,108.1,100.0
352,14:20:34,3.8,27.37,94.18,10.0
354,2:39:39,4.4,40.53,123.04,10.0
355,1:40:52,5.0,29.88,95.08,6.0
357,9:28:12,3.5,33.48,91.3,10.0
361,5:2:19,4.1,39.44,73.74,10.0
361,20:35:41,3.7,41.92,87.84,30.0
362,12:40:47,3.9,36.53,77.96,103.0
362,21:56:51,5.2,38.63,72.01,8.0
366,5:56:9,3.7,34.22,84.81,6.0
366,7:23:59,4.2,39.29,72.68,7.0
369,7:16:8,4.1,38.87,72.65,8.0
370,5:35:33,4.6,23.93,99.32,10.0
370,20:21:7,4.3,45.29,124.65,8.0
370,23:0:36,4.3,24.94,96.43,10.0
371,3:53:52,3.7,38.66,73.78,26.0
373,3:55:15,3.6,37.52,78.04,23.0
373,14:47:10,5.7,24.55,94.66,33.0
375,8:5:43,5.5,38.0,72.59,7.0
376,10:51:29,7.6,17.43,-83.51,10.0
376,17:52:31,4.0,34.68,85.01,7.0
378,2:26:24,6.2,18.38,96.1,10.0
380,17:18:40,7.2,-15.7,-74.72,20.0
381,10:58:45,3.9,38.33,73.95,8.0
381,17:5:57,3.8,46.59,129.68,8.0
383,9:25:18,4.5,35.01,87.01,6.0
383,11:48:15,3.9,38.21,74.21,164.0
383,13:59:12,4.1,25.11,121.61,129.0
384,6:56:58,5.9,-30.12,-177.76,20.0
384,20:41:57,4.2,43.6,82.76,6.0
386,0:17:46,6.3,26.75,-110.9,10.0
386,21:50:50,4.8,43.57,87.42,24.0
387,9:6:40,6.3,-18.89,-69.41,110.0
388,8:19:48,3.7,37.62,77.88,26.0
388,8:25:35,3.6,37.61,77.85,26.0
389,17:31:41,8.0,55.96,-149.13,10.0
390,18:51:22,6.1,41.13,142.37,40.0
391,4:54:54,3.6,41.22,83.71,9.0
391,9:15:58,5.9,8.3,91.79,10.0
391,10:10:34,6.3,55.5,166.35,10.0
392,4:42:56,3.7,33.2,83.32,7.0
393,0:31:30,3.9,22.96,120.98,8.0
393,6:47:57,6.0,-3.54,145.84,10.0
395,0:3:5,6.5,-53.05,9.61,10.0
395,1:27:42,3.6,33.47,91.45,7.0
397,15:7:0,6.2,36.51,70.91,180.0
399,8:20:44,5.5,0.21,125.21,50.0
399,8:48:22,4.3,23.95,97.69,10.0
399,8:48:56,3.9,23.94,97.64,10.0
399,13:41:23,3.5,40.28,103.85,15.0
399,17:39:23,3.9,36.71,106.1,10.0
400,9:20:37,3.6,35.51,105.42,0.0
400,18:45:21,3.6,38.49,76.58,20.0
401,5:46:32,3.7,44.64,81.37,16.0
401,21:12:50,4.7,24.15,121.9,7.0
401,21:56:41,6.4,24.2,121.72,10.0
401,22:10:52,4.1,24.22,121.77,7.0
401,22:13:12,5.5,24.16,121.75,10.0
402,23:58:42,4.8,24.08,121.7,7.0
403,13:9:14,4.8,24.16,121.75,7.0
403,15:3:23,3.5,27.95,101.32,16.0
403,16:36:50,4.6,24.15,121.72,10.0
403,23:50:42,6.5,24.13,121.71,11.0
